,C,epsilon,kernel,degree,coef,accuracy
3385,3.0,0.1,poly,1,1,0.7244897959183674
3386,3.0,0.1,poly,1,2,0.7244897959183674
3387,3.0,0.1,poly,1,3,0.7244897959183674
3388,3.0,0.1,poly,2,0,0.05102040816326531
3389,3.0,0.1,poly,2,1,0.0
3390,3.0,0.1,poly,2,2,0.1836734693877551
3391,3.0,0.1,poly,2,3,0.21428571428571427
3392,3.0,0.1,poly,3,0,0.0
3393,3.0,0.1,poly,3,1,0.0
3394,3.0,0.1,poly,3,2,0.0
3395,3.0,0.1,poly,3,3,0.02040816326530612
3396,3.0,0.1,poly,4,0,0.0
3397,3.0,0.1,poly,4,1,0.0
3398,3.0,0.1,poly,4,2,0.01020408163265306
3399,3.0,0.1,poly,4,3,0.01020408163265306
3400,3.0,0.1,rbf,0,0,0.7959183673469388
3401,3.0,0.1,rbf,0,1,0.7959183673469388
3402,3.0,0.1,rbf,0,2,0.7959183673469388
3403,3.0,0.1,rbf,0,3,0.7959183673469388
3404,3.0,0.1,rbf,1,0,0.7959183673469388
3405,3.0,0.1,rbf,1,1,0.7959183673469388
3406,3.0,0.1,rbf,1,2,0.7959183673469388
3407,3.0,0.1,rbf,1,3,0.7959183673469388
3408,3.0,0.1,rbf,2,0,0.7959183673469388
3409,3.0,0.1,rbf,2,1,0.7959183673469388
3410,3.0,0.1,rbf,2,2,0.7959183673469388
3411,3.0,0.1,rbf,2,3,0.7959183673469388
3412,3.0,0.1,rbf,3,0,0.7959183673469388
3413,3.0,0.1,rbf,3,1,0.7959183673469388
3414,3.0,0.1,rbf,3,2,0.7959183673469388
3415,3.0,0.1,rbf,3,3,0.7959183673469388
3416,3.0,0.1,rbf,4,0,0.7959183673469388
3417,3.0,0.1,rbf,4,1,0.7959183673469388
3418,3.0,0.1,rbf,4,2,0.7959183673469388
3419,3.0,0.1,rbf,4,3,0.7959183673469388
3420,3.0,0.1,sigmoid,0,0,0.6632653061224489
3421,3.0,0.1,sigmoid,0,1,0.6632653061224489
3422,3.0,0.1,sigmoid,0,2,0.6632653061224489
3423,3.0,0.1,sigmoid,0,3,0.6632653061224489
3424,3.0,0.1,sigmoid,1,0,0.6632653061224489
3425,3.0,0.1,sigmoid,1,1,0.6632653061224489
3426,3.0,0.1,sigmoid,1,2,0.6632653061224489
3427,3.0,0.1,sigmoid,1,3,0.6632653061224489
3428,3.0,0.1,sigmoid,2,0,0.6632653061224489
3429,3.0,0.1,sigmoid,2,1,0.6632653061224489
3430,3.0,0.1,sigmoid,2,2,0.6632653061224489
3431,3.0,0.1,sigmoid,2,3,0.6632653061224489
3432,3.0,0.1,sigmoid,3,0,0.6632653061224489
3433,3.0,0.1,sigmoid,3,1,0.6632653061224489
3434,3.0,0.1,sigmoid,3,2,0.6632653061224489
3435,3.0,0.1,sigmoid,3,3,0.6632653061224489
3436,3.0,0.1,sigmoid,4,0,0.6632653061224489
3437,3.0,0.1,sigmoid,4,1,0.6632653061224489
3438,3.0,0.1,sigmoid,4,2,0.6632653061224489
3439,3.0,0.1,sigmoid,4,3,0.6632653061224489
3440,3.0,0.5,linear,0,0,0.6836734693877551
3441,3.0,0.5,linear,0,1,0.6836734693877551
3442,3.0,0.5,linear,0,2,0.6836734693877551
3443,3.0,0.5,linear,0,3,0.6836734693877551
3444,3.0,0.5,linear,1,0,0.6836734693877551
3445,3.0,0.5,linear,1,1,0.6836734693877551
3446,3.0,0.5,linear,1,2,0.6836734693877551
3447,3.0,0.5,linear,1,3,0.6836734693877551
3448,3.0,0.5,linear,2,0,0.6836734693877551
3449,3.0,0.5,linear,2,1,0.6836734693877551
3450,3.0,0.5,linear,2,2,0.6836734693877551
3451,3.0,0.5,linear,2,3,0.6836734693877551
3452,3.0,0.5,linear,3,0,0.6836734693877551
3453,3.0,0.5,linear,3,1,0.6836734693877551
3454,3.0,0.5,linear,3,2,0.6836734693877551
3455,3.0,0.5,linear,3,3,0.6836734693877551
3456,3.0,0.5,linear,4,0,0.6836734693877551
3457,3.0,0.5,linear,4,1,0.6836734693877551
3458,3.0,0.5,linear,4,2,0.6836734693877551
3459,3.0,0.5,linear,4,3,0.6836734693877551
3460,3.0,0.5,poly,0,0,0.6632653061224489
3461,3.0,0.5,poly,0,1,0.6632653061224489
3462,3.0,0.5,poly,0,2,0.6632653061224489
3463,3.0,0.5,poly,0,3,0.6632653061224489
3464,3.0,0.5,poly,1,0,0.7142857142857143
3465,3.0,0.5,poly,1,1,0.7142857142857143
3466,3.0,0.5,poly,1,2,0.7142857142857143
