,estimator,depth,bs,split,feature,accuracy
52,10,15,False,2,log2,0.8775510204081632
53,10,15,False,3,log2,0.9081632653061225
54,10,20,True,1,auto,0.8775510204081632
55,10,20,True,2,auto,0.8775510204081632
56,10,20,True,3,auto,0.8673469387755102
57,10,20,True,1,sqrt,0.8673469387755102
58,10,20,True,2,sqrt,0.8673469387755102
59,10,20,True,3,sqrt,0.8469387755102041
60,10,20,True,1,log2,0.8877551020408163
61,10,20,True,2,log2,0.8877551020408163
62,10,20,True,3,log2,0.8979591836734694
63,10,20,False,1,auto,0.8367346938775511
64,10,20,False,2,auto,0.8367346938775511
65,10,20,False,3,auto,0.8367346938775511
66,10,20,False,1,sqrt,0.8673469387755102
67,10,20,False,2,sqrt,0.8673469387755102
68,10,20,False,3,sqrt,0.8775510204081632
69,10,20,False,1,log2,0.8775510204081632
70,10,20,False,2,log2,0.8775510204081632
71,10,20,False,3,log2,0.9081632653061225
72,10,25,True,1,auto,0.8775510204081632
73,10,25,True,2,auto,0.8775510204081632
74,10,25,True,3,auto,0.8673469387755102
75,10,25,True,1,sqrt,0.8673469387755102
76,10,25,True,2,sqrt,0.8673469387755102
77,10,25,True,3,sqrt,0.8469387755102041
78,10,25,True,1,log2,0.8877551020408163
79,10,25,True,2,log2,0.8877551020408163
80,10,25,True,3,log2,0.8979591836734694
81,10,25,False,1,auto,0.8367346938775511
82,10,25,False,2,auto,0.8367346938775511
83,10,25,False,3,auto,0.8367346938775511
84,10,25,False,1,sqrt,0.8673469387755102
85,10,25,False,2,sqrt,0.8673469387755102
86,10,25,False,3,sqrt,0.8775510204081632
87,10,25,False,1,log2,0.8775510204081632
88,10,25,False,2,log2,0.8775510204081632
89,10,25,False,3,log2,0.9081632653061225
90,10,30,True,1,auto,0.8775510204081632
91,10,30,True,2,auto,0.8775510204081632
92,10,30,True,3,auto,0.8673469387755102
93,10,30,True,1,sqrt,0.8673469387755102
94,10,30,True,2,sqrt,0.8673469387755102
95,10,30,True,3,sqrt,0.8469387755102041
96,10,30,True,1,log2,0.8877551020408163
97,10,30,True,2,log2,0.8877551020408163
98,10,30,True,3,log2,0.8979591836734694
99,10,30,False,1,auto,0.8367346938775511
100,10,30,False,2,auto,0.8367346938775511
101,10,30,False,3,auto,0.8367346938775511
102,10,30,False,1,sqrt,0.8673469387755102
103,10,30,False,2,sqrt,0.8673469387755102
104,10,30,False,3,sqrt,0.8775510204081632
105,10,30,False,1,log2,0.8775510204081632
106,10,30,False,2,log2,0.8775510204081632
107,10,30,False,3,log2,0.9081632653061225
108,25,5,True,1,auto,0.8877551020408163
109,25,5,True,2,auto,0.8877551020408163
110,25,5,True,3,auto,0.8877551020408163
111,25,5,True,1,sqrt,0.8163265306122449
112,25,5,True,2,sqrt,0.8163265306122449
113,25,5,True,3,sqrt,0.8163265306122449
114,25,5,True,1,log2,0.8673469387755102
115,25,5,True,2,log2,0.8673469387755102
116,25,5,True,3,log2,0.8673469387755102
117,25,5,False,1,auto,0.8469387755102041
118,25,5,False,2,auto,0.8469387755102041
119,25,5,False,3,auto,0.8469387755102041
120,25,5,False,1,sqrt,0.8775510204081632
121,25,5,False,2,sqrt,0.8775510204081632
122,25,5,False,3,sqrt,0.8775510204081632
123,25,5,False,1,log2,0.8877551020408163
124,25,5,False,2,log2,0.8877551020408163
125,25,5,False,3,log2,0.8877551020408163
126,25,10,True,1,auto,0.8877551020408163
127,25,10,True,2,auto,0.8877551020408163
128,25,10,True,3,auto,0.8775510204081632
129,25,10,True,1,sqrt,0.826530612244898
130,25,10,True,2,sqrt,0.826530612244898
131,25,10,True,3,sqrt,0.8571428571428571
132,25,10,True,1,log2,0.8673469387755102
133,25,10,True,2,log2,0.8673469387755102
134,25,10,True,3,log2,0.8673469387755102
135,25,10,False,1,auto,0.826530612244898
136,25,10,False,2,auto,0.826530612244898
137,25,10,False,3,auto,0.826530612244898
138,25,10,False,1,sqrt,0.8877551020408163
139,25,10,False,2,sqrt,0.8877551020408163
140,25,10,False,3,sqrt,0.8571428571428571
141,25,10,False,1,log2,0.8775510204081632
142,25,10,False,2,log2,0.8775510204081632
143,25,10,False,3,log2,0.8673469387755102
144,25,15,True,1,auto,0.8877551020408163
145,25,15,True,2,auto,0.8877551020408163
146,25,15,True,3,auto,0.8775510204081632
147,25,15,True,1,sqrt,0.826530612244898
148,25,15,True,2,sqrt,0.826530612244898
149,25,15,True,3,sqrt,0.8469387755102041
150,25,15,True,1,log2,0.8673469387755102
151,25,15,True,2,log2,0.8673469387755102
152,25,15,True,3,log2,0.8673469387755102
153,25,15,False,1,auto,0.826530612244898
154,25,15,False,2,auto,0.826530612244898
155,25,15,False,3,auto,0.826530612244898
156,25,15,False,1,sqrt,0.8979591836734694
157,25,15,False,2,sqrt,0.8979591836734694
158,25,15,False,3,sqrt,0.8673469387755102
159,25,15,False,1,log2,0.8775510204081632
160,25,15,False,2,log2,0.8775510204081632
161,25,15,False,3,log2,0.8673469387755102
162,25,20,True,1,auto,0.8877551020408163
163,25,20,True,2,auto,0.8877551020408163
164,25,20,True,3,auto,0.8775510204081632
165,25,20,True,1,sqrt,0.826530612244898
166,25,20,True,2,sqrt,0.826530612244898
167,25,20,True,3,sqrt,0.8469387755102041
168,25,20,True,1,log2,0.8673469387755102
169,25,20,True,2,log2,0.8673469387755102
170,25,20,True,3,log2,0.8673469387755102
171,25,20,False,1,auto,0.826530612244898
172,25,20,False,2,auto,0.826530612244898
173,25,20,False,3,auto,0.826530612244898
174,25,20,False,1,sqrt,0.8979591836734694
175,25,20,False,2,sqrt,0.8979591836734694
176,25,20,False,3,sqrt,0.8673469387755102
177,25,20,False,1,log2,0.8775510204081632
178,25,20,False,2,log2,0.8775510204081632
179,25,20,False,3,log2,0.8673469387755102
180,25,25,True,1,auto,0.8877551020408163
181,25,25,True,2,auto,0.8877551020408163
182,25,25,True,3,auto,0.8775510204081632
183,25,25,True,1,sqrt,0.826530612244898
184,25,25,True,2,sqrt,0.826530612244898
185,25,25,True,3,sqrt,0.8469387755102041
186,25,25,True,1,log2,0.8673469387755102
187,25,25,True,2,log2,0.8673469387755102
188,25,25,True,3,log2,0.8673469387755102
189,25,25,False,1,auto,0.826530612244898
190,25,25,False,2,auto,0.826530612244898
191,25,25,False,3,auto,0.826530612244898
192,25,25,False,1,sqrt,0.8979591836734694
193,25,25,False,2,sqrt,0.8979591836734694
194,25,25,False,3,sqrt,0.8673469387755102
195,25,25,False,1,log2,0.8775510204081632
196,25,25,False,2,log2,0.8775510204081632
197,25,25,False,3,log2,0.8673469387755102
198,25,30,True,1,auto,0.8877551020408163
199,25,30,True,2,auto,0.8877551020408163
200,25,30,True,3,auto,0.8775510204081632
201,25,30,True,1,sqrt,0.826530612244898
202,25,30,True,2,sqrt,0.826530612244898
203,25,30,True,3,sqrt,0.8469387755102041
204,25,30,True,1,log2,0.8673469387755102
205,25,30,True,2,log2,0.8673469387755102
206,25,30,True,3,log2,0.8673469387755102
207,25,30,False,1,auto,0.826530612244898
208,25,30,False,2,auto,0.826530612244898
209,25,30,False,3,auto,0.826530612244898
210,25,30,False,1,sqrt,0.8979591836734694
211,25,30,False,2,sqrt,0.8979591836734694
212,25,30,False,3,sqrt,0.8673469387755102
213,25,30,False,1,log2,0.8775510204081632
214,25,30,False,2,log2,0.8775510204081632
215,25,30,False,3,log2,0.8673469387755102
216,50,5,True,1,auto,0.8877551020408163
217,50,5,True,2,auto,0.8877551020408163
218,50,5,True,3,auto,0.8775510204081632
219,50,5,True,1,sqrt,0.8469387755102041
220,50,5,True,2,sqrt,0.8469387755102041
221,50,5,True,3,sqrt,0.8469387755102041
222,50,5,True,1,log2,0.8673469387755102
223,50,5,True,2,log2,0.8673469387755102
224,50,5,True,3,log2,0.8775510204081632
225,50,5,False,1,auto,0.8367346938775511
226,50,5,False,2,auto,0.8367346938775511
227,50,5,False,3,auto,0.8367346938775511
228,50,5,False,1,sqrt,0.8673469387755102
229,50,5,False,2,sqrt,0.8673469387755102
230,50,5,False,3,sqrt,0.8673469387755102
