,cocowindow,startCount,netAngle,cvWindow,rfAccuracy,rfMae,svmAccuracy,svmMae
26,3,0,45,3,0.8867924528301887,0.2990566037735849,0.8396226415094341,0.4878984232738049
27,3,0,45,4,0.8962264150943396,0.3037735849056605,0.8396226415094341,0.4866754865609334
28,3,0,45,5,0.8962264150943396,0.3094339622641511,0.8396226415094341,0.4913312065055714
29,3,0,45,6,0.8962264150943396,0.3113207547169812,0.8396226415094341,0.4921899606915442
30,3,0,60,2,0.8867924528301887,0.3179245283018868,0.8301886792452831,0.5122739771671606
31,3,0,60,3,0.8867924528301887,0.3103773584905661,0.8396226415094341,0.5051516401943269
32,3,0,60,4,0.8773584905660378,0.30943396226415104,0.8396226415094341,0.5023992977484992
33,3,0,60,5,0.8867924528301887,0.31981132075471697,0.8396226415094341,0.5060855277957587
34,3,0,60,6,0.8773584905660378,0.3245283018867925,0.8301886792452831,0.5021783736979647
35,3,0,75,2,0.8867924528301887,0.3311320754716981,0.8490566037735849,0.5298223004671929
36,3,0,75,3,0.8773584905660378,0.32547169811320764,0.8490566037735849,0.5295354963287472
37,3,0,75,4,0.8773584905660378,0.330188679245283,0.8490566037735849,0.5294321278098684
38,3,0,75,5,0.8679245283018868,0.3405660377358491,0.8490566037735849,0.5277115893661289
39,3,0,75,6,0.8679245283018868,0.3377358490566038,0.8490566037735849,0.525442149094594
40,4,0,30,2,0.8867924528301887,0.3264150943396227,0.8679245283018868,0.4762375298035256
41,4,0,30,3,0.8679245283018868,0.3367924528301887,0.8490566037735849,0.4905964623281547
42,4,0,30,4,0.8679245283018868,0.33301886792452834,0.8584905660377359,0.4713194032789301
43,4,0,30,5,0.8679245283018868,0.33301886792452834,0.8584905660377359,0.4717764195425183
44,4,0,30,6,0.8679245283018868,0.3349056603773586,0.8490566037735849,0.4703160723027393
45,4,0,45,2,0.8867924528301887,0.32547169811320753,0.8584905660377359,0.4850547067861215
46,4,0,45,3,0.8773584905660378,0.3245283018867925,0.8584905660377359,0.4778573147206243
47,4,0,45,4,0.8773584905660378,0.32641509433962274,0.8584905660377359,0.4828915799992418
48,4,0,45,5,0.8773584905660378,0.3207547169811321,0.8584905660377359,0.4896656423492455
49,4,0,45,6,0.8773584905660378,0.3245283018867925,0.8584905660377359,0.4913470852630194
50,4,0,60,2,0.8962264150943396,0.31792452830188683,0.8490566037735849,0.5032607193296545
51,4,0,60,3,0.8962264150943396,0.3198113207547171,0.8584905660377359,0.4924109280009809
52,4,0,60,4,0.8962264150943396,0.32452830188679244,0.8396226415094341,0.4987053114610774
53,4,0,60,5,0.8962264150943396,0.3216981132075471,0.8490566037735849,0.5026402036850898
54,4,0,60,6,0.8773584905660378,0.3349056603773586,0.8490566037735849,0.5033437995544882
55,4,0,75,2,0.8867924528301887,0.3122641509433963,0.8396226415094341,0.5155065309655372
56,4,0,75,3,0.8867924528301887,0.3179245283018869,0.8396226415094341,0.5218606389598794
57,4,0,75,4,0.8773584905660378,0.3226415094339624,0.8396226415094341,0.5174917772272805
58,4,0,75,5,0.8867924528301887,0.3198113207547171,0.8396226415094341,0.5191164769864088
59,4,0,75,6,0.8773584905660378,0.3254716981132077,0.8396226415094341,0.516924950542579
60,5,0,30,2,0.8867924528301887,0.3160377358490566,0.8490566037735849,0.4997015674652798
61,5,0,30,3,0.8773584905660378,0.3283018867924529,0.8396226415094341,0.4584611959901239
62,5,0,30,4,0.8679245283018868,0.3320754716981133,0.8396226415094341,0.4541284854330237
63,5,0,30,5,0.8679245283018868,0.33490566037735864,0.8584905660377359,0.44930360726485535
64,5,0,30,6,0.8679245283018868,0.33396226415094354,0.8584905660377359,0.44659134206017415
65,5,0,45,2,0.8867924528301887,0.32264150943396225,0.8490566037735849,0.4683801763607391
66,5,0,45,3,0.8679245283018868,0.33490566037735864,0.8490566037735849,0.4629748359632871
67,5,0,45,4,0.8867924528301887,0.3433962264150945,0.8584905660377359,0.4611875437622734
68,5,0,45,5,0.8867924528301887,0.34716981132075475,0.8679245283018868,0.4621858657482954
69,5,0,45,6,0.8773584905660378,0.34528301886792456,0.8584905660377359,0.4606726345178203
70,5,0,60,2,0.8962264150943396,0.31320754716981136,0.8584905660377359,0.4797118049013454
71,5,0,60,3,0.8962264150943396,0.32264150943396225,0.8584905660377359,0.4731656351610807
72,5,0,60,4,0.8962264150943396,0.3301886792452831,0.8490566037735849,0.4741583881694962
73,5,0,60,5,0.8867924528301887,0.32641509433962274,0.8584905660377359,0.4776074572527647
74,5,0,60,6,0.8773584905660378,0.3216981132075473,0.8584905660377359,0.4773259614385862
